date,CO2.atmo,water.soil.ratio,sample,pH,time
2019-08-21,laboratory,1-to-4,184,7.53,
2019-08-21,laboratory,1-to-4,185,6.46,
2019-08-21,laboratory,1-to-4,186,6.57,
2019-08-21,laboratory,1-to-4,187,6.5,
2019-08-21,laboratory,1-to-4,188,5.68,
2019-08-21,laboratory,1-to-4,189,6.35,
2019-08-21,laboratory,1-to-4,190,7.22,
2019-08-21,laboratory,1-to-4,191,5.44,
2019-08-21,laboratory,1-to-4,192,5.62,
2019-08-21,laboratory,1-to-4,193,5.16,
2019-08-21,laboratory,1-to-4,194,4.93,
2019-08-21,laboratory,1-to-4,195,5.56,
2019-08-21,laboratory,1-to-4,196,6.54,
2019-08-21,laboratory,1-to-4,197,6.31,
2019-08-21,laboratory,1-to-4,198,6.56,
2019-08-21,laboratory,1-to-4,199,4.99,
2019-08-21,laboratory,1-to-4,200,5.65,
2019-08-21,laboratory,1-to-4,201,5.7,
2019-08-21,laboratory,1-to-4,202,6.61,
2019-08-21,laboratory,1-to-4,203,6.93,
2019-08-21,laboratory,1-to-4,204,6.73,
2019-08-21,laboratory,1-to-4,205,5.62,
2019-08-21,laboratory,1-to-4,206,5.1,
2019-08-21,laboratory,1-to-4,207,6.57,
2019-08-21,laboratory,1-to-4,208,6.23,
2019-08-21,laboratory,1-to-4,209,5.58,
2019-08-21,laboratory,1-to-4,210,5.84,
2019-08-21,laboratory,1-to-4,211,5.09,
2019-08-21,laboratory,1-to-4,212,4.94,
2019-08-21,laboratory,1-to-4,213,5.24,
2019-08-21,laboratory,1-to-4,214,5.75,
2019-08-21,laboratory,1-to-4,215,5.94,
2019-08-21,laboratory,1-to-4,216,5.36,
2019-08-21,laboratory,1-to-4,217,6.78,
2019-08-21,laboratory,1-to-4,218,7.06,
2019-08-21,laboratory,1-to-4,219,6.9,
2019-08-21,laboratory,1-to-4,220,6.91,
2019-08-21,laboratory,1-to-4,221,7.17,
2019-08-21,laboratory,1-to-4,222,7.2,
2019-08-21,laboratory,1-to-4,223,6.82,
2019-08-21,laboratory,1-to-4,224,6.56,
2019-08-21,laboratory,1-to-4,225,6.97,
2019-08-21,laboratory,1-to-4,226,7.41,
2019-08-21,laboratory,1-to-4,227,6.64,
2019-08-21,laboratory,1-to-4,228,6.74,
2019-08-21,laboratory,1-to-4,229,4.8,
2019-08-21,laboratory,1-to-4,230,4.58,
2019-08-21,laboratory,1-to-4,231,5.8,
2019-08-21,laboratory,1-to-4,232,5.91,
2019-08-21,laboratory,1-to-4,233,6.9,
2019-08-21,laboratory,1-to-4,234,6.45,
2019-08-21,laboratory,1-to-4,235,6.88,
2019-08-21,laboratory,1-to-4,236,7.2,
2019-08-21,laboratory,1-to-4,237,7.2,
2019-08-21,laboratory,1-to-4,238,5.48,
2019-08-21,laboratory,1-to-4,239,6.64,
2019-08-21,laboratory,1-to-4,240,5.74,
2019-08-21,laboratory,1-to-4,tapwater,7.95,
2019-08-21,laboratory,1-to-4,carbonate,6.24,
2019-08-21,laboratory,1-to-4,aceticacid,3.38,
