date,CO2.atmo,water.soil.ratio,sample,pH,time
2019-08-13,chamber,1-to-2,22,5.36,
2019-08-13,chamber,1-to-2,23,7.2,
2019-08-13,chamber,1-to-2,24,7.03,
2019-08-13,chamber,1-to-2,25,5.67,
2019-08-13,chamber,1-to-2,26,6.34,
2019-08-13,chamber,1-to-2,27,5.67,
2019-08-13,chamber,1-to-2,28,5.34,
2019-08-13,chamber,1-to-2,29,5.6,
2019-08-13,chamber,1-to-2,30,7.07,
2019-08-13,chamber,1-to-2,31,7.22,
2019-08-13,chamber,1-to-2,32,7.21,
2019-08-13,chamber,1-to-2,33,7.06,
2019-08-13,chamber,1-to-2,34,7,
2019-08-13,chamber,1-to-2,35,7.28,
2019-08-13,chamber,1-to-2,36,7.25,
2019-08-13,chamber,1-to-2,37,7.31,
2019-08-13,chamber,1-to-2,38,7.45,
2019-08-13,chamber,1-to-2,39,7.21,
2019-08-13,chamber,1-to-2,40,7.19,
2019-08-13,chamber,1-to-2,41,7.01,
2019-08-13,chamber,1-to-2,42,7.31,
2019-08-13,chamber,1-to-2,43,6.56,
2019-08-13,chamber,1-to-2,44,6.72,
2019-08-13,chamber,1-to-2,45,6.61,
2019-08-13,chamber,1-to-2,46,6.22,
2019-08-13,chamber,1-to-2,47,6.32,
2019-08-13,chamber,1-to-2,48,6.21,
2019-08-13,chamber,1-to-2,50,7.02,
2019-08-13,chamber,1-to-2,51,6.93,
2019-08-13,chamber,1-to-2,52,6.94,
2019-08-13,chamber,1-to-2,53,6.82,
2019-08-13,chamber,1-to-2,54,6.24,
2019-08-13,chamber,1-to-2,55,6.41,
2019-08-13,chamber,1-to-2,56,6.14,
2019-08-13,chamber,1-to-2,57,7.04,
2019-08-13,chamber,1-to-2,58,7.28,
2019-08-13,chamber,1-to-2,59,7.2,
2019-08-13,chamber,1-to-2,60,7.57,
2019-08-13,chamber,1-to-2,61,7.27,
2019-08-13,chamber,1-to-2,62,7.32,
2019-08-13,chamber,1-to-2,63,7.45,
2019-08-13,chamber,1-to-2,64,7.56,
2019-08-13,chamber,1-to-2,65,7.35,
2019-08-13,chamber,1-to-2,181,6.73,
2019-08-13,chamber,1-to-2,182,7.33,
2019-08-13,chamber,1-to-2,183,6.45,
2019-08-13,chamber,1-to-2,184,7.1,
2019-08-13,chamber,1-to-2,185,6.8,
2019-08-13,chamber,1-to-2,186,6.65,
2019-08-13,chamber,1-to-2,187,6.58,
2019-08-13,chamber,1-to-2,188,5.98,
2019-08-13,chamber,1-to-2,189,6.9,
2019-08-13,chamber,1-to-2,190,5.83,
2019-08-13,chamber,1-to-2,191,5.59,
2019-08-13,chamber,1-to-2,192,5.82,
2019-08-13,chamber,1-to-2,193,5.75,
2019-08-13,chamber,1-to-2,194,5.32,
2019-08-13,chamber,1-to-2,195,5.81,
2019-08-13,chamber,1-to-2,196,6.51,
2019-08-13,chamber,1-to-2,197,6.78,
2019-08-13,chamber,1-to-2,198,6.36,
2019-08-13,chamber,1-to-2,199,5.19,
2019-08-13,chamber,1-to-2,200,5.7,
2019-08-13,chamber,1-to-2,201,5.85,
2019-08-13,chamber,1-to-2,202,6.79,
2019-08-13,chamber,1-to-2,203,7.14,
2019-08-13,chamber,1-to-2,204,6.89,
2019-08-13,chamber,1-to-2,205,5.66,
2019-08-13,chamber,1-to-2,206,5.4,
2019-08-13,chamber,1-to-2,207,6.58,
2019-08-13,chamber,1-to-2,208,7.08,
2019-08-13,chamber,1-to-2,209,5.89,
2019-08-13,chamber,1-to-2,210,6.05,
2019-08-13,chamber,1-to-2,211,5.74,
2019-08-13,chamber,1-to-2,212,5.27,
2019-08-13,chamber,1-to-2,213,5.57,
2019-08-13,chamber,1-to-2,214,7.38,
2019-08-13,chamber,1-to-2,215,6.36,
2019-08-13,chamber,1-to-2,216,5.66,
2019-08-13,chamber,1-to-2,217,7.12,
2019-08-13,chamber,1-to-2,218,6.98,
2019-08-13,chamber,1-to-2,219,7.01,
2019-08-13,chamber,1-to-2,220,6.28,
2019-08-13,chamber,1-to-2,221,6.67,
2019-08-13,chamber,1-to-2,222,6.47,
2019-08-13,chamber,1-to-2,223,7.23,
2019-08-13,chamber,1-to-2,224,6.57,
2019-08-13,chamber,1-to-2,225,7.15,
2019-08-13,chamber,1-to-2,226,7.24,
2019-08-13,chamber,1-to-2,227,6.9,
2019-08-13,chamber,1-to-2,228,6.64,
2019-08-13,chamber,1-to-2,229,5.11,
2019-08-13,chamber,1-to-2,230,4.95,
2019-08-13,chamber,1-to-2,231,7.58,
2019-08-13,chamber,1-to-2,232,6.56,
2019-08-13,chamber,1-to-2,233,6.43,
2019-08-13,chamber,1-to-2,234,6.18,
2019-08-13,chamber,1-to-2,235,7.09,
2019-08-13,chamber,1-to-2,236,6.9,
2019-08-13,chamber,1-to-2,237,7.21,
2019-08-13,chamber,1-to-2,238,5.73,
2019-08-13,chamber,1-to-2,239,6.01,
2019-08-13,chamber,1-to-2,240,5.86,
2019-08-13,chamber,1-to-2,241,5.1,
2019-08-13,chamber,1-to-2,242,5.46,
2019-08-13,chamber,1-to-2,tapwater,8.31,
2019-08-13,chamber,1-to-2,carbonate,6.33,
2019-08-13,chamber,1-to-2,aceticacid,3.74,
2019-08-13,chamber,1-to-3,1,5.15,
2019-08-13,chamber,1-to-3,2,5.44,
2019-08-13,chamber,1-to-3,3,5.57,
2019-08-13,chamber,1-to-3,5,5.12,
2019-08-13,chamber,1-to-3,6,5.3,
2019-08-13,chamber,1-to-3,7,5.25,
2019-08-13,chamber,1-to-3,8,4.94,
2019-08-13,chamber,1-to-3,9,5.13,
2019-08-13,chamber,1-to-3,10,5.11,
2019-08-13,chamber,1-to-3,11,5.68,
2019-08-13,chamber,1-to-3,12,5.74,
2019-08-13,chamber,1-to-3,13,5.7,
2019-08-13,chamber,1-to-3,14,6.85,
2019-08-13,chamber,1-to-3,15,6.23,
2019-08-13,chamber,1-to-3,16,6.12,
2019-08-13,chamber,1-to-3,17,6.25,
2019-08-13,chamber,1-to-3,18,6.07,
2019-08-13,chamber,1-to-3,19,5.72,
2019-08-13,chamber,1-to-3,20,6.91,
2019-08-13,chamber,1-to-3,21,6.41,
2019-08-13,chamber,1-to-3,22,5.33,
2019-08-13,chamber,1-to-3,23,7.15,
2019-08-13,chamber,1-to-3,24,6.87,
2019-08-13,chamber,1-to-3,25,5.76,
2019-08-13,chamber,1-to-3,26,6.33,
2019-08-13,chamber,1-to-3,27,5.71,
2019-08-13,chamber,1-to-3,28,5.25,
2019-08-13,chamber,1-to-3,29,5.62,
2019-08-13,chamber,1-to-3,30,6.92,
2019-08-13,chamber,1-to-3,31,7.05,
2019-08-13,chamber,1-to-3,32,6.95,
2019-08-13,chamber,1-to-3,33,6.91,
2019-08-13,chamber,1-to-3,34,6.88,
2019-08-13,chamber,1-to-3,35,7.17,
2019-08-13,chamber,1-to-3,36,7.1,
2019-08-13,chamber,1-to-3,37,7.11,
2019-08-13,chamber,1-to-3,38,7.18,
2019-08-13,chamber,1-to-3,39,7.04,
2019-08-13,chamber,1-to-3,40,7.14,
2019-08-13,chamber,1-to-3,41,6.84,
2019-08-13,chamber,1-to-3,42,7.05,
2019-08-13,chamber,1-to-3,43,6.35,
2019-08-13,chamber,1-to-3,44,6.45,
2019-08-13,chamber,1-to-3,45,6.46,
2019-08-13,chamber,1-to-3,46,6.14,
2019-08-13,chamber,1-to-3,47,6.07,
2019-08-13,chamber,1-to-3,48,6.03,
2019-08-13,chamber,1-to-3,50,6.98,
2019-08-13,chamber,1-to-3,51,7.06,
2019-08-13,chamber,1-to-3,52,6.9,
2019-08-13,chamber,1-to-3,53,6.37,
2019-08-13,chamber,1-to-3,54,6.13,
2019-08-13,chamber,1-to-3,55,6.35,
2019-08-13,chamber,1-to-3,56,5.92,
2019-08-13,chamber,1-to-3,57,7.15,
2019-08-13,chamber,1-to-3,58,6.95,
2019-08-13,chamber,1-to-3,59,6.9,
2019-08-13,chamber,1-to-3,60,7.33,
2019-08-13,chamber,1-to-3,61,7.4,
2019-08-13,chamber,1-to-3,62,7.4,
2019-08-13,chamber,1-to-3,63,7.52,
2019-08-13,chamber,1-to-3,64,7.5,
2019-08-13,chamber,1-to-3,65,7.4,
2019-08-13,chamber,1-to-3,181,7.1,
2019-08-13,chamber,1-to-3,182,7.5,
2019-08-13,chamber,1-to-3,183,6.58,
2019-08-13,chamber,1-to-3,184,6.87,
2019-08-13,chamber,1-to-3,185,6.54,
2019-08-13,chamber,1-to-3,186,6.93,
2019-08-13,chamber,1-to-3,187,6.89,
2019-08-13,chamber,1-to-3,188,6.12,
2019-08-13,chamber,1-to-3,189,7.02,
2019-08-13,chamber,1-to-3,190,5.83,
2019-08-13,chamber,1-to-3,191,5.79,
2019-08-13,chamber,1-to-3,192,5.86,
2019-08-13,chamber,1-to-3,193,5.53,
2019-08-13,chamber,1-to-3,194,5.26,
2019-08-13,chamber,1-to-3,195,5.7,
2019-08-13,chamber,1-to-3,196,6.69,
2019-08-13,chamber,1-to-3,197,6.45,
2019-08-13,chamber,1-to-3,198,6.38,
2019-08-13,chamber,1-to-3,199,5.28,
2019-08-13,chamber,1-to-3,200,5.64,
2019-08-13,chamber,1-to-3,201,5.78,
2019-08-13,chamber,1-to-3,202,6.86,
2019-08-13,chamber,1-to-3,203,6.89,
2019-08-13,chamber,1-to-3,204,6.9,
2019-08-13,chamber,1-to-3,205,5.76,
2019-08-13,chamber,1-to-3,206,5.35,
2019-08-13,chamber,1-to-3,207,6.37,
2019-08-13,chamber,1-to-3,208,6.22,
2019-08-13,chamber,1-to-3,209,5.74,
2019-08-13,chamber,1-to-3,210,6.11,
2019-08-13,chamber,1-to-3,211,5.06,
2019-08-13,chamber,1-to-3,212,5.34,
2019-08-13,chamber,1-to-3,213,6.93,
2019-08-13,chamber,1-to-3,214,6.19,
2019-08-13,chamber,1-to-3,215,6.28,
2019-08-13,chamber,1-to-3,216,5.58,
2019-08-13,chamber,1-to-3,217,6.72,
2019-08-13,chamber,1-to-3,218,6.85,
2019-08-13,chamber,1-to-3,219,6.98,
2019-08-13,chamber,1-to-3,220,6.47,
2019-08-13,chamber,1-to-3,221,6.51,
2019-08-13,chamber,1-to-3,222,6.54,
2019-08-13,chamber,1-to-3,223,7.13,
2019-08-13,chamber,1-to-3,224,6.56,
2019-08-13,chamber,1-to-3,225,7.14,
2019-08-13,chamber,1-to-3,226,6.98,
2019-08-13,chamber,1-to-3,227,6.77,
2019-08-13,chamber,1-to-3,228,6.63,
2019-08-13,chamber,1-to-3,229,5.09,
2019-08-13,chamber,1-to-3,230,4.8,
2019-08-13,chamber,1-to-3,231,5.72,
2019-08-13,chamber,1-to-3,232,6.12,
2019-08-13,chamber,1-to-3,233,5.98,
2019-08-13,chamber,1-to-3,234,6.12,
2019-08-13,chamber,1-to-3,235,7.08,
2019-08-13,chamber,1-to-3,236,6.83,
2019-08-13,chamber,1-to-3,237,6.89,
2019-08-13,chamber,1-to-3,238,6.11,
2019-08-13,chamber,1-to-3,239,6.01,
2019-08-13,chamber,1-to-3,240,5.78,
2019-08-13,chamber,1-to-3,tapwater,7.83,
2019-08-13,chamber,1-to-3,carbonate,6.35,
2019-08-13,chamber,1-to-3,aceticacid,3.57,
2019-08-13,chamber,1-to-4,2,5.36,
2019-08-13,chamber,1-to-4,3,5.49,
2019-08-13,chamber,1-to-4,6,5.28,
2019-08-13,chamber,1-to-4,7,5.28,
2019-08-13,chamber,1-to-4,9,5.27,
2019-08-13,chamber,1-to-4,10,5.05,
2019-08-13,chamber,1-to-4,12,5.69,
2019-08-13,chamber,1-to-4,13,5.65,
2019-08-13,chamber,1-to-4,14,6.82,
2019-08-13,chamber,1-to-4,16,6.26,
2019-08-13,chamber,1-to-4,17,6.36,
2019-08-13,chamber,1-to-4,18,6.21,
2019-08-13,chamber,1-to-4,19,5.68,
2019-08-13,chamber,1-to-4,20,7.13,
2019-08-13,chamber,1-to-4,21,6.46,
2019-08-13,chamber,1-to-4,22,5.36,
2019-08-13,chamber,1-to-4,23,7.08,
2019-08-13,chamber,1-to-4,24,6.9,
2019-08-13,chamber,1-to-4,25,5.89,
2019-08-13,chamber,1-to-4,26,6.25,
2019-08-13,chamber,1-to-4,27,5.66,
2019-08-13,chamber,1-to-4,28,5.28,
2019-08-13,chamber,1-to-4,29,5.54,
2019-08-13,chamber,1-to-4,30,7.17,
2019-08-13,chamber,1-to-4,31,7.08,
2019-08-13,chamber,1-to-4,32,6.99,
2019-08-13,chamber,1-to-4,33,6.88,
2019-08-13,chamber,1-to-4,34,6.88,
2019-08-13,chamber,1-to-4,35,7.12,
2019-08-13,chamber,1-to-4,36,6.98,
2019-08-13,chamber,1-to-4,37,7.04,
2019-08-13,chamber,1-to-4,38,7.2,
2019-08-13,chamber,1-to-4,39,7.15,
2019-08-13,chamber,1-to-4,40,7.03,
2019-08-13,chamber,1-to-4,41,6.73,
2019-08-13,chamber,1-to-4,42,7.03,
2019-08-13,chamber,1-to-4,43,6.36,
2019-08-13,chamber,1-to-4,44,6.39,
2019-08-13,chamber,1-to-4,45,6.58,
2019-08-13,chamber,1-to-4,46,6.23,
2019-08-13,chamber,1-to-4,47,6.19,
2019-08-13,chamber,1-to-4,48,6.13,
2019-08-13,chamber,1-to-4,50,6.88,
2019-08-13,chamber,1-to-4,51,6.65,
2019-08-13,chamber,1-to-4,52,6.94,
2019-08-13,chamber,1-to-4,53,6.51,
2019-08-13,chamber,1-to-4,54,6.15,
2019-08-13,chamber,1-to-4,55,6.18,
2019-08-13,chamber,1-to-4,56,5.93,
2019-08-13,chamber,1-to-4,57,6.93,
2019-08-13,chamber,1-to-4,58,6.63,
2019-08-13,chamber,1-to-4,59,6.84,
2019-08-13,chamber,1-to-4,60,7.44,
2019-08-13,chamber,1-to-4,61,7.48,
2019-08-13,chamber,1-to-4,62,7.28,
2019-08-13,chamber,1-to-4,63,7.31,
2019-08-13,chamber,1-to-4,64,7.38,
2019-08-13,chamber,1-to-4,65,7.46,
2019-08-13,chamber,1-to-4,181,6.74,
2019-08-13,chamber,1-to-4,182,6.83,
2019-08-13,chamber,1-to-4,183,6.4,
2019-08-13,chamber,1-to-4,184,7.65,
2019-08-13,chamber,1-to-4,185,6.78,
2019-08-13,chamber,1-to-4,186,6.68,
2019-08-13,chamber,1-to-4,187,6.64,
2019-08-13,chamber,1-to-4,188,6.02,
2019-08-13,chamber,1-to-4,189,6.85,
2019-08-13,chamber,1-to-4,190,7.25,
2019-08-13,chamber,1-to-4,191,5.92,
2019-08-13,chamber,1-to-4,192,5.81,
2019-08-13,chamber,1-to-4,193,5.45,
2019-08-13,chamber,1-to-4,194,5.17,
2019-08-13,chamber,1-to-4,195,5.67,
2019-08-13,chamber,1-to-4,196,6.64,
2019-08-13,chamber,1-to-4,197,6.45,
2019-08-13,chamber,1-to-4,198,6.78,
2019-08-13,chamber,1-to-4,199,5.25,
2019-08-13,chamber,1-to-4,200,5.8,
2019-08-13,chamber,1-to-4,201,5.95,
2019-08-13,chamber,1-to-4,202,6.66,
2019-08-13,chamber,1-to-4,203,6.9,
2019-08-13,chamber,1-to-4,204,6.71,
2019-08-13,chamber,1-to-4,205,6.12,
2019-08-13,chamber,1-to-4,206,5.36,
2019-08-13,chamber,1-to-4,207,6.56,
2019-08-13,chamber,1-to-4,208,6.3,
2019-08-13,chamber,1-to-4,209,5.88,
2019-08-13,chamber,1-to-4,210,6.1,
2019-08-13,chamber,1-to-4,211,5.24,
2019-08-13,chamber,1-to-4,212,5.05,
2019-08-13,chamber,1-to-4,213,5.44,
2019-08-13,chamber,1-to-4,214,5.93,
2019-08-13,chamber,1-to-4,215,6.16,
2019-08-13,chamber,1-to-4,216,5.54,
2019-08-13,chamber,1-to-4,217,6.74,
2019-08-13,chamber,1-to-4,218,6.43,
2019-08-13,chamber,1-to-4,219,6.57,
2019-08-13,chamber,1-to-4,220,6.37,
2019-08-13,chamber,1-to-4,221,6.93,
2019-08-13,chamber,1-to-4,222,6.51,
2019-08-13,chamber,1-to-4,223,6.89,
2019-08-13,chamber,1-to-4,224,6.25,
2019-08-13,chamber,1-to-4,225,6.76,
2019-08-13,chamber,1-to-4,226,7.14,
2019-08-13,chamber,1-to-4,227,6.7,
2019-08-13,chamber,1-to-4,228,6.39,
2019-08-13,chamber,1-to-4,229,4.95,
2019-08-13,chamber,1-to-4,230,4.81,
2019-08-13,chamber,1-to-4,231,5.89,
2019-08-13,chamber,1-to-4,232,6.1,
2019-08-13,chamber,1-to-4,233,6.34,
2019-08-13,chamber,1-to-4,234,6.16,
2019-08-13,chamber,1-to-4,235,6.69,
2019-08-13,chamber,1-to-4,236,6.55,
2019-08-13,chamber,1-to-4,237,7.13,
2019-08-13,chamber,1-to-4,238,5.77,
2019-08-13,chamber,1-to-4,239,6.23,
2019-08-13,chamber,1-to-4,240,5.93,
2019-08-13,chamber,1-to-4,tapwater,7.6,
2019-08-13,chamber,1-to-4,carbonate,6.08,
2019-08-13,chamber,1-to-4,aceticacid,3.52,
