date,CO2.atmo,water.soil.ratio,sample,pH,time
2019-08-19,laboratory,1-to-2,193,5.72,
2019-08-19,laboratory,1-to-2,194,5.14,
2019-08-19,laboratory,1-to-2,195,5.73,
2019-08-19,laboratory,1-to-2,196,6.54,
2019-08-19,laboratory,1-to-2,197,6.48,
2019-08-19,laboratory,1-to-2,198,6.49,
2019-08-19,laboratory,1-to-2,199,5.12,
2019-08-19,laboratory,1-to-2,200,5.6,
2019-08-19,laboratory,1-to-2,201,5.93,
2019-08-19,laboratory,1-to-2,202,6.68,
2019-08-19,laboratory,1-to-2,203,7.23,
2019-08-19,laboratory,1-to-2,204,6.85,
2019-08-19,laboratory,1-to-2,205,5.69,
2019-08-19,laboratory,1-to-2,206,5.28,
2019-08-19,laboratory,1-to-2,207,6.2,
2019-08-19,laboratory,1-to-2,208,6.8,
2019-08-19,laboratory,1-to-2,209,5.82,
2019-08-19,laboratory,1-to-2,210,5.83,
2019-08-19,laboratory,1-to-2,211,5.4,
2019-08-19,laboratory,1-to-2,212,5.17,
2019-08-19,laboratory,1-to-2,213,5.45,
2019-08-19,laboratory,1-to-2,214,7.66,
2019-08-19,laboratory,1-to-2,215,6.03,
2019-08-19,laboratory,1-to-2,216,5.49,
2019-08-19,laboratory,1-to-2,217,7.05,
2019-08-19,laboratory,1-to-2,218,6.86,
2019-08-19,laboratory,1-to-2,219,7.16,
2019-08-19,laboratory,1-to-2,220,6.03,
2019-08-19,laboratory,1-to-2,221,6.33,
2019-08-19,laboratory,1-to-2,222,6.73,
2019-08-19,laboratory,1-to-2,223,6.9,
2019-08-19,laboratory,1-to-2,224,6.45,
2019-08-19,laboratory,1-to-2,225,7.29,
2019-08-19,laboratory,1-to-2,226,6.94,
2019-08-19,laboratory,1-to-2,227,6.78,
2019-08-19,laboratory,1-to-2,228,6.7,
2019-08-19,laboratory,1-to-2,229,4.95,
2019-08-19,laboratory,1-to-2,230,4.79,
2019-08-19,laboratory,1-to-2,231,7.38,
2019-08-19,laboratory,1-to-2,232,6.74,
2019-08-19,laboratory,1-to-2,233,6.45,
2019-08-19,laboratory,1-to-2,234,6.04,
2019-08-19,laboratory,1-to-2,235,7.45,
2019-08-19,laboratory,1-to-2,236,6.8,
2019-08-19,laboratory,1-to-2,237,6.89,
2019-08-19,laboratory,1-to-2,238,5.69,
2019-08-19,laboratory,1-to-2,239,5.96,
2019-08-19,laboratory,1-to-2,240,5.69,
2019-08-19,laboratory,1-to-2,241,4.94,
2019-08-19,laboratory,1-to-2,242,5.32,
2019-08-19,laboratory,1-to-2,tapwater,7.8,
2019-08-19,laboratory,1-to-2,carbonate,5.99,
2019-08-19,laboratory,1-to-2,aceticacid,3.51,
